id	name	type	value	description
10783	Wall-Punch	WEAPON	9500	A staff for creating very powerful missiles.
10784	Winter bear pelt	general	300	Another Umka is left without a mom or dad.
10785	Dissecting the Firmament	WEAPON	16800	There are no obstacles for this blade that it cannot dissect.
10786	Ideal Unshakable Pride	WEAPON	19700	Imbued with divine power, this sword became even more powerful.
10787	Shard of Star	necklace	2000	The remnants of the star's light will continue to illuminate your path.
10788	Dragon Amulet	necklace	10000	An artfully crafted piece with a powerful charms.
10789	Grave Friend	WEAPON	19000	A reliable blade of a great warrior who remained faithful to him even after death.
10790	Hand of Death	WEAPON	21900	He still retains the memory of terrible atrocities.
10791	Sylvia's Ring	ring	8000	The ring is filled with strong witch magic.
10792	Crown of the Dragon Lord	armor_head	19000	Forged from an ancient magical artifact, this item grants you extraordinary wisdom.
10793	Epilogue	WEAPON	10000	It will erase the last moment of your enemies.
10794	Wolf Signet	ring	-1	The ancestral ring of House Storme.
10795	Wolf Armor	armor_chest	15000	The ancestral armor of House Storme.
10796	Straight Razor	WEAPON	8500	Your enemies won't have to be bored.
10797	Teddy Bear	belt	17000	Your faithful mascot.
10798	Berserker Armor	armor_chest	19000	It will allow you to live in battle a little longer.
10799	Berserker Armor	armor_legs	11000	It will allow you to live in battle a little longer.
10800	Eviscerator	WEAPON	8500	A weapon filled with centuries-old malice.
10801	Dark Potion of Death Ward	POTION	1200	Grants a +90 bonus to Death resistance for 2 min, -20 bonus to Spirit Resistance, -55HP.
10802	Potion of Evil Might	POTION	1100	Will add +12 to attacks for 20 seconds, -20 bonus to Spirit Resistance, -55HP death.
10803	Light Potion of Dark	POTION	1300	Grants a +40 bonus to Spirit Resistance for 1 min, -80 bonus to Death resistance, -55HP death.
10804	Dark Potion of Healing	POTION	750	Will heal a total of 120, -50 bonus to Death resistance for 30 seconds.
10805	Dark Potion of Mana	POTION	1100	Recovers +95 mana, -50 bonus to Death resistance for 30 seconds.
10806	Dark Scroll	SCROLL	800	Raises undead to level 18 for 1 minute, -20 bonus to Spirit Resistance.
10807	Ancient Seal	general	-1	An artifact filled with extraordinary power.
10808	Michaela's favorite panties	general	-1	Vorators are embroidered on them, and the open mouth of one of them was in the most unexpected place..
10809	Mikaela's autograph	SCROLL	9800	As a loyal Mika fan, you can always count on the support of her other fans.
10810	Girdle of Endurance	belt	19000	It will make you stronger.
10811	Little Claws	SHIELD	1000	Ridiculously small, but still dangerous.
10812	Bewitched Shortsword	WEAPON	2600	Magically enhanced weapon.
10813	Bewitched Longsword	WEAPON	3000	Magically enhanced weapon.
10814	Bewitched Greatsword	WEAPON	3800	Magically enhanced weapon.
10815	Bewitched Maul	WEAPON	3900	Magically enhanced weapon.
10816	Bewitched Greataxe	WEAPON	3400	Magically enhanced weapon.
10817	Bewitched Longbow	WEAPON	2900	Magically enhanced weapon.
10818	Bewitched Greatbow	WEAPON	3300	Magically enhanced weapon.
10819	Bewitched Axe	WEAPON	2800	Magically enhanced weapon.
10820	Bewitched Staff	WEAPON	9100	Magically enhanced weapon.
10821	Bewitched Dagger	WEAPON	2200	Magically enhanced weapon.
10822	Imperial Platemail Vest	armor_chest	12300	A good copy of the famous armor.
10823	Imperial Platemail Leggings	armor_legs	10800	A good copy of the famous armor.
10824	Imperial Platemail Gauntlets	armor_arms	7100	A good copy of the famous armor.
10825	Imperial Platemail Boots	armor_feet	7600	A good copy of the famous armor.
10826	Imperial Platemail Helm	armor_head	6600	A good copy of the famous armor.
10827	Elite Myrosian Breastplate	armor_chest	57000	A unique example of the armor of the blacksmiths of Miros, it is unlikely that similar ones exist anywhere else.
10828	Elite Myrosian Leggings	armor_legs	44000	A unique example of the armor of the blacksmiths of Miros, it is unlikely that similar ones exist anywhere else.
10829	Fiery Sting	WEAPON	8800	An enchanted blade, clearly from Imperial times.
10830	Necromancer's Book	general	-1	An old-looking book written in a language you don't understand, probably the one the governor asked you to bring.
10831	Letter	general	-1	A message that needs to be delivered to the settlement in the Royal Forest.
10832	Steel Key	general	-1	Probably from the cage where Evelina was locked up.
10833	Orc Axe	WEAPON	1700	You might be able to kill someone with it, but not with the first hit or the tenth.
10834	Evening Flare	WEAPON	6000	An elaborately decorated staff that holds destructive energy.
10835	Metal Pants	armor_legs	2400	Orcs know very well which place needs to be protected best.
10836	Wooden Longsword	WEAPON	6000	Although the blade of this sword is made of wood, it is extremely durable and sharp.
10837	Wooden Greatsword	WEAPON	9700	Although the blade of this sword is made of wood, it is extremely durable and sharp.
10838	Shield of Living Wood	SHIELD	4800	A very sturdy shield made of tightly woven branches.
10839	Fragment of Magic Map	general	-1	A part of a magic map that can be used to find an ancient hiding place.
10840	Magic Map	general	-1	Magic map that can help you find an ancient hiding place.
10841	Ring of Imperial Wisdom	ring	9900	Perhaps there were smarter people in the past, but we can't verify that..
10842	Eveline's Staff	WEAPON	18300	A beautifully decorated staff belonging to Princess Evelina Lightwind.
10843	Glowing Stone	general	-1	A strange stone emitting a faint light.
10844	Burning Dream	WEAPON	12500	The enchantment of this sword will burn away all evil.
10845	Fiery Skull	WEAPON	10800	A unique, enchanted hammer forged in the shape of a skull.
10846	Book of Royal Wisdom	SHIELD	9700	It gives you knowledge that you have never had before, if you can read.
10847	Old Coin	general	-1	This coin was given to you by Prince Alarion in case you need to contact him urgently. You must show it to the innkeeper at tavern "Cheerful Passerby" in Istril.
10848	Pestilence Trail	WEAPON	8900	An enchanted blade, clearly from Imperial times.
10849	Pestilence Tangency	WEAPON	9800	An enchanted blade, clearly from Imperial times.
10850	Skull of Priest	general	-1	Even after being re-dead, this thing seems to still be alive.
10851	Black Armor	armor_chest	27000	Cursed armor, only the bravest dare to wear it.
10852	Black Armor	armor_legs	19000	Cursed armor, only the bravest dare to wear it.
10853	Scroll of Love	SCROLL	14000	This world is worthy of your love!
10854	Animal Amulet	necklace	15000	The animal instincts contained in this amulet will protect you.
10855	Soulcatcher	WEAPON	17100	All the souls taken by this sword will make you invincible.
10856	Wolfish Ferocity	WEAPON	12000	The eternal hunger of the owner of this blade will force him to kill constantly.
10857	Nimble Teeth	WEAPON	9000	These are clearly not children's toys!
10858	Lovebringer	WEAPON	20000	Love will rule this world with your help!
10859	Tormentor	WEAPON	22000	Let all living beings suffer, for pain is the essence of existence!
10860	Whirl of Death	WEAPON	25000	Spin in a deadly whirlwind, only death has meaning.
10861	Devotion	WEAPON	13700	A fine blade, clearly from imperial times, with strong enchantments.
10862	Black Helmet	armor_head	18000	Cursed armor, only the bravest dare to wear it.
10863	Frailty	WEAPON	9900	If everything is mortal, then hasten their demise.
10864	Certificate of Merit from Tavern	SCROLL	1400000	The EK community is proud of you! You get an endless supply of pipisa!
10865	Certificate of Merit from Ilmara	SCROLL	400000	For the perfect ability to use intervention!
10866	Green Leather Pants	armor_legs	3780	Made of artificial leather, extremely resistant to toxins.
10867	Tunic of priest Northern Gods	armor_chest	7700	The robes of the servants of the northern gods.
10868	Ancient Rags	armor_chest	3300	The decayed mantle still holds strong magic.
10869	Zeref's Mantle	armor_chest	6200	This man knew how to dress well.
10870	Shining Armor	armor_chest	10200	In this armor, you are not afraid of any evil spirits.
10871	Shining Armor	armor_legs	9280	In this armor, you are not afraid of any evil spirits.
10872	Frankie's Carapace	armor_chest	13200	It's going to be hard to break through this thing with anything.
10873	Armor of Rage	armor_chest	3400	They give you vitality, making you unstoppable.
10874	Reforged Legion Breastplate	armor_chest	12700	The re-hardening of the steel has made this armor stronger.
10875	Reinforced Velites Chain Shirt	armor_chest	6400	The rings of this chain mail were replaced with more durable ones.
10876	Created by light Robe	armor_chest	5400	Light and threads intertwined in the creation of this mantle.
10877	Wolf Armor	armor_chest	15200	The ancestral armor of House Storme.
10878	Berserker Armor	armor_chest	19200	It will allow you to live in battle a little longer.
10879	Berserker Armor	armor_legs	11180	It will allow you to live in battle a little longer.
10880	Elite Myrosian Breastplate	armor_chest	57200	A unique example of the armor of the blacksmiths of Miros, it is unlikely that similar ones exist anywhere else.
10881	Elite Myrosian Leggings	armor_legs	44180	A unique example of the armor of the blacksmiths of Miros, it is unlikely that similar ones exist anywhere else.
10882	Metal Pants	armor_legs	2580	Orcs know very well which place needs to be protected best.
10883	Black Armor	armor_chest	27200	Cursed armor, only the bravest dare to wear it.
10884	Black Armor	armor_legs	19180	Cursed armor, only the bravest dare to wear it.
10885	Imperial Platemail Vest	armor_chest	12500	A good copy of the famous armor.
10886	Imperial Platemail Leggings	armor_legs	10980	A good copy of the famous armor.
10887	Scaly Mantle	armor_chest	4400	The fabric is covered with many small scales, protecting against toxins.
10888	Bewitched Dildo	WEAPON	515	This thing was enchanted for you by the enchantress Magnolia.
10889	Bewitched Dildo	WEAPON	515	This thing was enchanted for you by the enchantress Magnolia.
10890	Bewitched Dildo	WEAPON	515	This thing was enchanted for you by the enchantress Magnolia.
10891	Bewitched Dildo	WEAPON	565	This thing was enchanted for you by the enchantress Beatrice.
10892	Impressive Dignity	WEAPON	14000	Small but good. Instills fear in enemies, just like an older brother.
10893	Magical musical artifact	general	-1	A beautiful-looking artifact that can memorize sounds, but you have no idea how to use it.
10894	Ice Tree	WEAPON	9500	Although the blade of this sword is made of wood, it is extremely durable and sharp.
10895	Ice Shield	SHIELD	5200	The shield looks like it's made of ice, but it's also very durable.
10896	Bewitched Impressive Dignity	WEAPON	14500	This weapon was enchanted for you by the enchantress Magnolia.
10897	Bewitched Impressive Dignity	WEAPON	14500	This weapon was enchanted for you by the enchantress Magnolia.
10898	Bewitched Impressive Dignity	WEAPON	14500	This weapon was enchanted for you by the enchantress Magnolia.
10899	Bewitched Impressive Dignity	WEAPON	14600	This weapon was enchanted for you by the enchantress Beatrice.
10900	Fir	general	-1	A fir for a holiday.
10901	Bewitched Gangster Bit	WEAPON	1000	This weapon was enchanted for you by the enchantress Magnolia.
10902	Bewitched Gangster Bit	WEAPON	1000	This weapon was enchanted for you by the enchantress Magnolia.
10903	Bewitched Gangster Bit	WEAPON	1000	This weapon was enchanted for you by the enchantress Magnolia.
10904	Bewitched Gangster Bit	WEAPON	1050	This weapon was enchanted for you by the enchantress Beatrice.
10905	Blessed Gangster Bit	WEAPON	1100	This weapon was blessed in the temple of the Northern gods.
10906	Bewitched Widowmaker	WEAPON	8800	This sword was enchanted for you by the enchantress Magnolia.
10907	Bewitched Widowmaker	WEAPON	8800	This sword was enchanted for you by the enchantress Magnolia.
10908	Bewitched Widowmaker	WEAPON	8800	This sword was enchanted for you by the enchantress Magnolia.
10909	Bewitched Widowmaker	WEAPON	8850	This sword was enchanted for you by the enchantress Beatrice.
10910	Blessed Widowmaker	WEAPON	8900	This sword was blessed in the temple of the Northern gods.
10911	Bewitched Dragon Slayer	WEAPON	6300	This sword was enchanted for you by the enchantress Magnolia.
10912	Bewitched Dragon Slayer	WEAPON	6300	This sword was enchanted for you by the enchantress Magnolia.
10913	Bewitched Dragon Slayer	WEAPON	6300	This sword was enchanted for you by the enchantress Magnolia.
10914	Bewitched Dragon Slayer	WEAPON	6350	This sword was enchanted for you by the enchantress Beatrice.
10915	Blessed Dragon Slayer	WEAPON	6400	This sword was blessed in the temple of the Northern gods.
10916	Bewitched Hunting Knife	WEAPON	1900	This blade was enchanted for you by the enchantress Magnolia.
10917	Bewitched Hunting Knife	WEAPON	1900	This blade was enchanted for you by the enchantress Magnolia.
10918	Bewitched Hunting Knife	WEAPON	1900	This blade was enchanted for you by the enchantress Magnolia.
10919	Bewitched Hunting Knife	WEAPON	1950	This blade was enchanted for you by the enchantress Beatrice.
10920	Blessed Hunting Knife	WEAPON	2000	This blade was blessed in the temple of the Northern gods.
10921	Bewitched Rock Breaker	WEAPON	7500	This weapon was enchanted for you by the enchantress Magnolia.
10922	Bewitched Rock Breaker	WEAPON	7500	This weapon was enchanted for you by the enchantress Magnolia.
10923	Bewitched Rock Breaker	WEAPON	7500	This weapon was enchanted for you by the enchantress Magnolia.
10924	Bewitched Rock Breaker	WEAPON	7550	This weapon was enchanted for you by the enchantress Beatrice.
10925	Blessed Rock Breaker	WEAPON	7600	This weapon was blessed in the temple of the Northern gods.
10926	Bewitched Thinker's Argument	WEAPON	5400	This weapon was enchanted for you by the enchantress Magnolia.
10927	Bewitched Thinker's Argument	WEAPON	5400	This weapon was enchanted for you by the enchantress Magnolia.
10928	Bewitched Thinker's Argument	WEAPON	5400	This weapon was enchanted for you by the enchantress Magnolia.
10929	Bewitched Thinker's Argument	WEAPON	5450	This weapon was enchanted for you by the enchantress Beatrice.
10930	Blessed Thinker's Argument	WEAPON	5500	This weapon was blessed in the temple of the Northern gods.
10931	Bewitched Bloodsucker	WEAPON	4600	This sword was enchanted for you by the enchantress Magnolia.
10932	Bewitched Bloodsucker	WEAPON	4600	This sword was enchanted for you by the enchantress Magnolia.
10933	Bewitched Bloodsucker	WEAPON	4600	This sword was enchanted for you by the enchantress Magnolia.
10934	Bewitched Bloodsucker	WEAPON	4650	This sword was enchanted for you by the enchantress Beatrice.
10935	Blessed Bloodsucker	WEAPON	4700	This sword was blessed in the temple of the Northern gods.
10936	Bewitched Killing Power	WEAPON	9500	This weapon was enchanted for you by the enchantress Magnolia.
10937	Bewitched Killing Power	WEAPON	9500	This weapon was enchanted for you by the enchantress Magnolia.
10938	Bewitched Killing Power	WEAPON	9500	This weapon was enchanted for you by the enchantress Magnolia.
10939	Bewitched Killing Power	WEAPON	9550	This weapon was enchanted for you by the enchantress Beatrice.
10940	Blessed Killing Power	WEAPON	9600	This weapon was blessed in the temple of the Northern gods.
10941	Bewitched Sacrifice	WEAPON	-1	This sword was enchanted for you by the enchantress Magnolia.
10942	Bewitched Sacrifice	WEAPON	-1	This sword was enchanted for you by the enchantress Magnolia.
10943	Bewitched Sacrifice	WEAPON	-1	This sword was enchanted for you by the enchantress Magnolia.
10944	Bewitched Sacrifice	WEAPON	-1	This sword was enchanted for you by the enchantress Beatrice.
10945	Blessed Sacrifice	WEAPON	-1	This sword was blessed in the temple of the Northern gods.
10946	Bewitched Orc Axe	WEAPON	2200	This weapon was enchanted for you by the enchantress Magnolia.
10947	Bewitched Orc Axe	WEAPON	2200	This weapon was enchanted for you by the enchantress Magnolia.
10948	Bewitched Orc Axe	WEAPON	2200	This weapon was enchanted for you by the enchantress Magnolia.
10949	Bewitched Orc Axe	WEAPON	2250	This weapon was enchanted for you by the enchantress Beatrice.
10950	Blessed Orc Axe	WEAPON	2300	This weapon was blessed in the temple of the Northern gods.
10951	Bewitched Soulcatcher	WEAPON	17600	This sword was enchanted for you by the enchantress Magnolia.
10952	Bewitched Soulcatcher	WEAPON	17600	This sword was enchanted for you by the enchantress Magnolia.
10953	Bewitched Soulcatcher	WEAPON	17600	This sword was enchanted for you by the enchantress Magnolia.
10954	Bewitched Soulcatcher	WEAPON	17650	This sword was enchanted for you by the enchantress Beatrice.
10955	Blessed Soulcatcher	WEAPON	17700	This sword was blessed in the temple of the Northern gods.
10956	Bewitched Wolfish Ferocity	WEAPON	12500	This blade was enchanted for you by the enchantress Magnolia.
10957	Bewitched Wolfish Ferocity	WEAPON	12500	This blade was enchanted for you by the enchantress Magnolia.
10958	Bewitched Wolfish Ferocity	WEAPON	12500	This blade was enchanted for you by the enchantress Magnolia.
10959	Bewitched Wolfish Ferocity	WEAPON	12550	This blade was enchanted for you by the enchantress Beatrice.
10960	Blessed Wolfish Ferocity	WEAPON	12600	This blade was blessed in the temple of the Northern gods.
10961	Bewitched Staff of Madman	WEAPON	3900	This staff was enchanted for you by the magician Ronald.
10962	Bewitched Staff of Madman	WEAPON	3900	This staff was enchanted for you by the magician Ronald.
10963	Bewitched Staff of Madman	WEAPON	3900	This staff was enchanted for you by the magician Ronald.
10964	Bewitched Satisfier	WEAPON	14500	This bow was enchanted for you by the magician Ronald.
10965	Bewitched Satisfier	WEAPON	14500	This bow was enchanted for you by the magician Ronald.
10966	Bewitched Satisfier	WEAPON	14500	This bow was enchanted for you by the magician Ronald.
10967	Bewitched Giver of Slumber	WEAPON	9400	This wand was enchanted for you by the magician Ronald.
10968	Bewitched Giver of Slumber	WEAPON	9400	This wand was enchanted for you by the magician Ronald.
10969	Bewitched Giver of Slumber	WEAPON	9400	This wand was enchanted for you by the magician Ronald.
10970	Bewitched Baffle	WEAPON	6900	This wand was enchanted for you by the magician Ronald.
10971	Bewitched Baffle	WEAPON	6900	This wand was enchanted for you by the magician Ronald.
10972	Bewitched Baffle	WEAPON	6900	This wand was enchanted for you by the magician Ronald.
10973	Bewitched Staff of Balthasar	WEAPON	19500	This staff was enchanted for you by the magician Ronald.
10974	Bewitched Staff of Balthasar	WEAPON	19500	This staff was enchanted for you by the magician Ronald.
10975	Bewitched Staff of Balthasar	WEAPON	19500	This staff was enchanted for you by the magician Ronald.
10976	Bewitched Wall-Punch	WEAPON	10000	This staff was enchanted for you by the magician Ronald.
10977	Bewitched Wall-Punch	WEAPON	10000	This staff was enchanted for you by the magician Ronald.
10978	Bewitched Wall-Punch	WEAPON	10000	This staff was enchanted for you by the magician Ronald.
10979	Bewitched Whirl of Death	WEAPON	25500	This staff was enchanted for you by the magician Ronald.
10980	Bewitched Whirl of Death	WEAPON	25500	This staff was enchanted for you by the magician Ronald.
10981	Bewitched Whirl of Death	WEAPON	25500	This staff was enchanted for you by the magician Ronald.
10982	Drink stock	general	-1	The drink stock that you managed to save.
10983	Heart of Oberon	general	-1	The heart of an unfortunate immortal.
10984	Ginerva artifact	necklace	-1	The artifact that the immortal sorceress gave you.
10985	Vomit Cleaner	WEAPON	4700	A sickening-looking weapon, the enemies will obviously be afraid to get hit by it.
10986	Punisher's Horn	WEAPON	7000	Now the bad guys will be held accountable to you for their bad behavior!
10987	Slimethrower	WEAPON	3300	It's disgusting to even hold this thing in your hands!
10988	Damn wool	cloak	12000	It still retains the spirit of brutality and bloodthirstiness.
10989	Skull of Oberon	SHIELD	4000	Endless years of rage are now in your hands.
10990	Armorbra	armor_chest	19000	This is a very specific armor, I wonder what Sansa bought it for?
10991	Gentleman's boots	armor_feet	10800	You look great in them, and if anything happens, you can quickly escape.
10992	Coat of Arms Shield	SHIELD	7200	It looks great and can save your life more than once.
10993	Holiday hat	armor_head	490	At least you'll look great in it.
10994	Magic Photoalbum	SCROLL	-1	Sansa obviously tried very hard to impress your imagination with her skill and body in these magical pictures.
10995	Perfect Impressive Dignity	WEAPON	17600	Imbued with divine power, this sword became even more powerful.
10996	Divine Dildo	WEAPON	3565	Imbued with divine power, this sword became even more powerful.
10997	Scroll of wisdom: Greatness-1	general	1	One day, while walking home, the Magister accidentally met a young magician who asked him: Give me a powerful weapon!
10998	Scroll of wisdom: Greatness-2	general	1	Magister picked up a branch from the ground and handed it to him. But this is an ordinary stick! - magician exclaimed with displeasure.
10999	Scroll of wisdom: Greatness-3	general	1	Magister waved this branch and hill by road was blown away by the wind! And then magician realized that greatness is not in things, it is in ourselves.
11000	Scroll of wisdom: Improvement-1	general	1	One day, a little pony found a tree with a golden apple growing on it, but it was hanging high, and no matter how hard he tried, he couldn't reach it.
11001	Scroll of wisdom: Improvement-2	general	1	And at that time, Magister, who was on his way to the tavern, passed by. The pony noticed Him and began to look at him piteously.
11002	Scroll of wisdom: Improvement-3	general	1	Then Magister stopped, picked an apple and began to eat it, saying: Don't expect anyone to help you, become stronger so you can do it yourself!
11003	Scroll of wisdom: Reconciliation-1	general	1	Once Magister met a husband and wife on the road, who sold a cow and divided the coins equally, but could not decide who would get the last remaining coin.
11004	Scroll of wisdom: Reconciliation-2	general	1	Magister took this coin, looked at it and said: If the power is in the truth, then the one who is strong is right!
11005	Scroll of wisdom: Reconciliation-3	general	1	Okay, - husband replied, hitting his wife on head with all his might and taking all coins. Magister gave him a coin and walked on, smiling that he was able to resolve conflict.
11006	Scroll of wisdom: Vigilance-1	general	1	One day Magister came across a house, next to which on a hill he saw the owner kneeling in front of a pillar. What are you doing?  - Magister asked him.
11007	Scroll of wisdom: Vigilance-2	general	1	I pray to my gods, they will protect me and my family from any troubles and misfortunes! - that replied. Okay, - said Magister.
11008	Scroll of wisdom: Vigilance-3	general	1	He entered owner's house, killed his parents, raped wife, children, took all valuable and returned, - Well, did your gods protect you? No? So, need to rely only on yourself!
11009	Scroll of wisdom: Justice-1	general	1	Magister was passing through a village one day, and a young peasant woman came out of the courtyard to him.
11010	Scroll of wisdom: Justice-2	general	1	She began to complain that all their men were taken into army, robbers constantly come to rob and rape, King takes a large tax from them, but does not protect them.
11011	Scroll of wisdom: Justice-3	general	1	Why are we being treated so unfairly?! - she exclaimed. Magister thought about it and replied: Because you don't have a dick.
11012	Scroll of wisdom: Absoluteness-1	general	1	One day, Magister was walking past the cemetery from a tavern, and suddenly he had a strong urge to go to the toilet.
11013	Scroll of wisdom: Absoluteness-2	general	1	He sat down next to the grave, pulled off his underpants, and then a ghost appears in front of him and angrily says: Don't do that here!
11014	Scroll of wisdom: Absoluteness-3	general	1	But Magister answers him: We all obey the laws of the universe, no one can resist them, neither the living nor the dead! - and continued to shit.
11015	Branch	general	1	An ordinary-looking branch.
11016	Apple core	general	1	It must have been delicious.
11017	Gold coin	general	1	A coin clearly minted elsewhere.
11018	Wooden idol	general	1	A statuette depicting a muscular man.
11019	Wooden cock	general	1	Someone very carefully carved.
11020	Mighty Power	WEAPON	10100	It's impossible to become omnipotent, but can try to get a little closer to it.
11021	Thunderbolt	WEAPON	7000	If you are the strongest, those around you will have no complaints about you.
11022	Rainbow Rainbow	WEAPON	8000	There is no limit to development, there is only a limitation of desire and will!
11023	Flaming Fire	WEAPON	11500	Don't rely on empty idols, trust real power.
11024	Righteous Truth	WEAPON	8500	If there is lawlessness around, do not wait for changes, but put things in order yourself.
11025	Ruinous Ruiner	WEAPON	6500	We are all equal in the order of the universe itself.
11026	Crushing Space Firebolt	WEAPON	15000	Once he managed to catch lightning, now it's in your hands!
11027	Feeding Thirst for Blood	WEAPON	9000	The destruction of enemies reaches a new level.
11028	Fatally Charged Murderer	WEAPON	12100	The energy trapped in steel will become a nightmare for your opponents.
11029	Armored Robe of Adept	armor_chest	9000	At least they learned how to dress well by imitating their idolize.
11030	Insulating Robe of Adept	armor_chest	9800	At least they learned how to dress well by imitating their idolize.
11031	Scaly Robe of Adept	armor_chest	9900	At least they learned how to dress well by imitating their idolize.
11032	Fireproof Robe of Adept	armor_chest	9200	At least they learned how to dress well by imitating their idolize.
11033	Charmed Robe of Adept	armor_chest	9400	At least they learned how to dress well by imitating their idolize.
11034	Ring of Dead Adept	ring	7500	How does a ghost manage to wear armor, rings, and the rest?
11035	Black underpants	general	0	Someone's black men's underpants are not the first freshness with the image of a muscular man.
11036	Armor from Adaonium	armor_chest	14600	The armor is light and fragile in appearance, but the strange material it is made of is much stronger than it looks.
11037	Armor from Adaonium	armor_legs	10900	The armor is light and fragile in appearance, but the strange material it is made of is much stronger than it looks.
11038	Fresh food	general	-1	Well, it looks and tastes no different from regular meat, if don't know the catch.
11039	Seven-league boots	armor_feet	4000	Your feet won't get tired in these boots, no matter how many miles you walk.
11040	Protector of Steppe people	SHIELD	6000	The ancient magic of the guardian of this people is still strong.
11041	Meat Cleaver	WEAPON	700	And it's also good for a fight.
11042	Thorn of Snowstorm	WEAPON	15000	A good, enchanted blade preserved from ancient times.
11043	Forest Jacket	armor_chest	9800	A great choice for traveling in the wilderness.
11044	Forest Leggings	armor_legs	9500	A great choice for traveling in the wilderness.
11045	Forest Gauntlets	armor_arms	9200	A great choice for traveling in the wilderness.
11046	Forest Boots	armor_feet	8400	A great choice for traveling in the wilderness.
11047	Forest Hood	armor_head	8700	A great choice for traveling in the wilderness.
11048	Raging Deathraze	WEAPON	19900	Your enemies don't know yet, but once you pick up this weapon, they're already dead.
11049	Sting of parasite	WEAPON	9700	This little bastard won't be able to sting anyone anymore!
11050	Valor of North	WEAPON	10200	The blade of the masters of the North with strong enchantment.
11051	Iridescent Armor	armor_chest	8600	It is made of plates of unusual metal with some kind of luminous inserts.
11052	Lightning Firefly	WEAPON	2500	A bow made of a strange material, with lights wandering on it, shooting energy flashes instead of arrows.
11053	Card 1	general	-1	A strange thing made of an unknown material with the inscription: admission level 1.
11054	Card 2	general	-1	A strange thing made of an unknown material with the inscription: admission level 2.
11055	Bewitched Mighty Power	WEAPON	10600	This staff was enchanted for you by the magician Ronald.
11056	Bewitched Mighty Power	WEAPON	10600	This staff was enchanted for you by the magician Ronald.
11057	Bewitched Mighty Power	WEAPON	10600	This staff was enchanted for you by the magician Ronald.
11058	Armorbra	armor_chest	19200	This is a very specific armor, I wonder what Sansa bought it for?
11059	Armored Robe of Adept	armor_chest	9200	At least they learned how to dress well by imitating their idolize.
11060	Insulating Robe of Adept	armor_chest	10000	At least they learned how to dress well by imitating their idolize.
11061	Scaly Robe of Adept	armor_chest	10100	At least they learned how to dress well by imitating their idolize.
11062	Fireproof Robe of Adept	armor_chest	9400	At least they learned how to dress well by imitating their idolize.
11063	Charmed Robe of Adept	armor_chest	9600	At least they learned how to dress well by imitating their idolize.
11064	Armor from Adaonium	armor_chest	14800	The armor is light and fragile in appearance, but the strange material it is made of is much stronger than it looks.
11065	Armor from Adaonium	armor_legs	11100	The armor is light and fragile in appearance, but the strange material it is made of is much stronger than it looks.
11066	Forest Jacket	armor_chest	10000	A great choice for traveling in the wilderness.
11067	Forest Leggings	armor_legs	9700	A great choice for traveling in the wilderness.
11068	Iridescent Armor	armor_chest	8800	It is made of plates of unusual metal with some kind of luminous inserts.
11069	Broken Medallion	general	-1	A cracked medallion bearing faded solar engravings. It hums faintly when touched.
11070	Solar Relic	general	-1	An ancient relic radiating holy solar energy. It was guarded by a powerful undead knight.
11071	Medallion of the Solar Crusade	necklace	-1	A restored holy medallion of immense power. It burns with the light of a thousand suns, warding off darkness.
10055	Sealed Fractured Heart	necklace	-1	A mysterious pendant containing a fragment of ancient power. Its surface pulses with faint warmth.
10056	Arcane Focus Ring	ring	-1	A ring imbued with arcane energy, sharpening the wearer's magical precision.
10057	Crimson Spark Band	ring	-1	A band crackling with elemental fire, granting its wearer resistance to flames.
