tag	EN	SP	RU	PT	DE	PL	CZ	TR	IT	FR
DESC_END_STATS	» Each point of endurance grants [BLUE]+5 base hit points[].<p>» Each point of endurance grants [BLUE]+1 hit point/level[].<p>» Each point of endurance grants [BLUE]+5 vs. toxic[] damage. 	<p>»Cada punto de resistencia, [BLUE]+5 puntos de vida base[].<p>»Cada punto de resistencia, [BLUE]+1 punto de vida/nivel[].<p>» Cada punto de resistencia, [BLUE]+5 contra daño tóxico[]. 	» Каждое очко выносливости даёт [BLUE]+5 пунктов здоровья[].<p>» Каждое очко выносливости даёт [BLUE]+1 пункт здоровья/уровень[].<p>» Каждое очко выносливости даёт [BLUE]+5 против урона ядом[].	<p>» Cada ponto de resistência dá [BLUE]+5 pontos base de vida[]. <p>» Cada ponto de resistência, [BLUE]+1 ponto de vida/nível[].<p>» Cada ponto de resistência, [BLUE]+5 contra dano tóxico[].	» Jeder Punkt auf AUS gewährt [BLUE]+5 Trefferpunkte[].<p>» Jeder Punkt auf AUS gewährt [BLUE]+1 Trefferpunkt/Stufe[].<p>» Jeder Punkt auf AUS gewährt +5 Resistenz gegen [BLUE]Giftschaden[].	» Każdy punkt wytrzymałości zapewnia [BLUE]+5 PŻ bazowych[].<p>» Każdy punkt wytrzymałości zapewnia [BLUE]+1 PZ/poziom[].<p>» Każdy punkt wytrzymałości zapewnia [BLUE]+5 pkt. odporności przeicwko toksynom[].	» Každý bod výdrže [BLUE]+5 základních bodů zdraví[].<p>» Každý bod výdrže poskytuje [BLUE]+1 zdravotní bod/úroveň[].<p>» Každý bod výdrže poskytuje [BLUE]+5 proti poškození jedem[].	» Her bir dayanma noktası her merkür noktası [BLUE] +1 vuruş noktası / seviye []. [3] Her dayanma noktası [BLUE] + 5 temel vuruş noktası []. <p> +5'e karşıToksik [] hasar.	» Ogni punto RES da [BLUE]+5 PV base[].<p>»Ogni punto RES da [BLUE]+1 PV per livello.<p>» Ogni punto RES da [BLUE]+5 Resistenza al Veleno[].	
DESC_AGI_STATS	» Each point of AGI grants [BLUE]+1 Armor[].<p>» +1 damage/AGI point with [BLUE]light[] and [BLUE]ranged[] weapons.<p>» +0.5 damage/AGI point with [BLUE]hand weapons[].<p>»  Each point of AGI grants +5% chance with [BLUE]traps and locks[].	» Por cada punto de AGI, [BLUE]+1 Armadura[].<p>» +1 daño/punto de AGI, al usar armas [BLUE]Ligeras[] y [BLUE]A Distancia[].<p>» +0.5 daño/punto de AGI, al usar  [BLUE]armas de mano[].<p>»  Por cada punto de AGI, +5% bonus a [BLUE]traps and locks[].	» Каждое очко ловкости даёт [BLUE]+1 к Броне[].<p>» +1 урона/очко ловкости для [BLUE]лёгкого и стрелкового оружия[].<p>» +0.5 урона/очко ловкости для [BLUE]одноручного оружия[].<p>» Каждое очко ловкости даёт +5% к шансу обнаружить [BLUE]ловушки и секреты[].	» Para cada ponto de AGI, [BLUE]+1 Armadura[].<p>» +1 dano/ ponto de AGI, ao usar [BLUE]armas leves e a distância[].<p>» +0.5 dano/ponto de AGI, ao usar [BLUE]armas de mão[].<p>» Por cada ponto de AGI, +5% bônus para [BLUE]armadilhas e fechaduras[].	»Jeder Punkt auf GES gewährt [BLUE]+1 Rüstung[].<p>» +1 Schaden/GES-Punkt mit [BLUE]leichten und Distanzwaffen[].<p>» +0.5 Schaden/GES-Punkt mit [BLUE]Handwaffen[].<p>» Jeder Punkt auf GES gewährt +5% Chance bei [BLUE]Fallen und Schlössern[].	» Każdy punkt zwinności zapewnia [BLUE]+1 punkt pancerza[].<p>» +1 do obrażeń/punkt ZWI [BLUE]bronią lekką i dystansową[].<p>» +0,5 do obrażeń/punkt ZWI [BLUE]bronią jednoręczną[].<p>»  Każdy punkt ZWI zwiększa o +5% szanse w starciu z [BLUE]pułapkami i zamkami[].	» Každý bod AGI poskytuje [BLUE]+1 Brnění[].<p>» +1 poškození/AGI bod s [BLUE]lehkou a střelnou zbraní[].<p>» +0.5 poškození/AGI bod s [BLUE]ruční zbraní[].<p>» Každý bod AGI poskytuje +5% šanci s [BLUE]pastmi a zámky[].	» AGI'nin her noktası [BLUE] +1 Armor []. [BLUE] ışık ve menzilli silahlarla [+1] hasar / AGI noktası. [+] 0.55 hasar / AGI noktası ile [BLUE] El silahları []. <p> AGI'nin her bir noktası, [BLUE] tuzaklarla +% 5 şans verir ve [] kilitler.	» Ogni punto AGI da [BLUE]+1 Armatura[].<p>» +1 danno x AGI con [BLUE]armi leggere e a distanza[].<p>» +0.5 danno x AGI con [BLUE]armi pesanti[].<p>» Ogni punto di AGI da bonus +5% [BLUE]trappole e lucchetti[].	
DESC_INT_STATS	» Each point of INT grants [BLUE]+1 mana/level[] to [BLUE]mages[].<p>» Each point of INT increases [BLUE]XP gained by +2%[].<p>» Each 2 points of INT grants [BLUE]+1 mana/level[] to [BLUE]clerics[].<p>» Each 2 points of INT grant +5% chance with [BLUE]traps and locks[].<p>» Each 2 points of INT grant +5% chance to [BLUE]perception[].	» Cada punto de INT, [BLUE]+1 mana/nivel[] a [BLUE]magos[].<p>» Cada punto de INT, [BLUE]+2% de Experienca[]. » Cada 2 puntos de INT, [BLUE]+1 mana/nivel[] a [BLUE]clérigos[].<p>» Cada 2 puntos de INT, +5% a [BLUE]trampas y cerraduras[].<p>» Cada 2 puntos de INT, +5% a [BLUE]percepción[].	» Каждое очко интеллекта дает [BLUE]+1 маны/уровень[] [BLUE]магам[].<p>»Каждое очко интеллекта увеличивает [BLUE]получаемый опыт на +2%[].<p>» Каждые 2 очка интеллекта дают [BLUE]+1 маны/уровень[] [BLUE]клерикам[].<p>» Каждые 2 очка интеллекта дают +5% к шансу с [BLUE]ловушками и замками[].<p>» Каждые 2 очка интеллекта дают +5% к шансу [BLUE]восприятия[].	» Cada ponto de INT, [BLUE]+1 mana/nível[] a [BLUE]magos[].<p>» Cada ponto de INT, [BLUE]+2% de Experiência[]. » Cada 2 pontos de INT, [BLUE]+1 mana/nível[] a [BLUE]clérigos[].<p>» Cada 2 pontos de INT, +5% a [BLUE]armadilhas e fechaduras[].<p>» Cada 2 pontos de INT, +5% a [BLUE]percepção[].	» Jeder Punkt auf INT gewährt [BLUE]+1 Mana/Stufe[] für [BLUE]Magier[].<p>» Jeder Punkt auf INT erhöht [BLUE]XP-Gewinn um +2%[].<p>» Jeder 2. Punkt auf INT gewährt [BLUE]+1 Mana/Stufe[] für [BLUE]Kleriker[].<p>» Jeder 2. Punkt auf INT gewährt +5% Chance bei [BLUE]Fallen und Schlössern[].<p>» Jeder 2. Punkt auf INT gewährt +5% Chance Geheimnisse zu [BLUE]entdecken[].	» Każdy punkt inteligencji zapewnia [BLUE]+1 do many/pozioml[] dla [BLUE]magów[].<p>» Każdy punkt INT zwiększa [BLUE]zdobywane PD o +2%[].<p>» Każde 2 punkty INT zapewniają [BLUE]+1 do many/pozioml[] dla [BLUE]kleryków[].<p>» Każde 2 punkty INT zwiększają o +5% szanse w starciu z [BLUE]pułapkami i zamkam[].<p>» Każde 2 punkty INT zwiększają o +5% szansę na [BLUE]spostrzeżenie[].	» Každý bod INT poskytuje [BLUE]+1 mana/úroveň[] pro [BLUE]Kouzelníky[].<p>» Každý bod INT zvyšuje [BLUE]získané ZB +2%[].<p>» Každé 2 body INT poskytují [BLUE]+1 mana/úroveň[] pro [BLUE]kleriky[].<p>» Každé 2 body INT poskytují +5% šance s [BLUE]pastmi a zámky[].<p>» Každé 2 body INT poskytují +5% šanci [BLUE]vnímání[].	»INT'un her noktası, [BLUE] +1 mana / seviye [] ile [BLUE] mages'ye []. [P]» INT'ın her noktası, [BLUE] XP'nin +2% [] artar. <p> 2 puan INT hibe verir [BLUE] +1 mana / seviye [] - [BLUE] din adamları []. <p> Her 2 puan INT hibe +% 5 şans, [BLUE] tuzakları ve kilitler []. <p> »Her 2 puan INT hibe +% 0 şans [BLUE] algılama [].	» Ogni punto INT da [BLUE]+1 mana / Liv.[] ai [BLUE]Maghi[].<p>» Ogni punto INT incrementa [BLUE]bonus XP del +2%[].<p>» Ogni 2 punti INT danno [BLUE]+1 mana / Liv.[] ai [BLUE]Chierici[].<p>» Ogni 2 punti INT danno +5% bonus [BLUE]trappole e lucchetti[].<p>» Ogni 2 punti INT danno +5% bonus [BLUE]percezione[].	
DESC_AWA_STATS	» Each point of AWA grants +5% chance to [BLUE]perception[]<p>» Each 2 points of AWA grant +5% chance to [BLUE]gossip[]<p>» Bonus of [BLUE]+1 Armor[] for every [BLUE]3 points[] in AWA.<p>» +1 damage per 2 AWA points, with [BLUE]ranged weapons[].	» Cada punto de DET, +5% a [BLUE]percepción[]<p>» Cada 2 puntos de DET, +5% a [BLUE]rumores[]<p>» Bonus de [BLUE]+1 Armadura[] por cada [BLUE]3 puntos[] de DET.<p>» +1 daño por cada 2 puntos de DET, al usar [BLUE]arcos[].	» Каждое очко внимательности дает +5% к шансу [BLUE]восприятия[]<p>» Каждые 2 очка внимательности дают +5% к шансу [BLUE]уловить слух[]<p>» Бонус в [BLUE]+1 Брони[] за каждые [BLUE]3 очка[] внимательности.<p>» +1 урона за 2 очка внимательности со [BLUE]стрелковым оружием[].	» Cada ponto de DET, +5% a [BLUE]percepção[]<p>» Cada 2 pontos de DET, +5% a [BLUE]rumores[]<p>» Bônus de [BLUE]+1 Armadura[] para cada [BLUE]3 pontos[] de DET.<p>» +1 dano para cada 2 pontos de DET, ao usar [BLUE]armas a distância[].	» Jeder Punkt auf WAH gewährt +5% Chance Geheimnisse zu [BLUE]entdecken[].<p>» Jeder 2. Punkt auf WAH gewährt +5% Chance [BLUE]Gerüchte[] zu erfahren.<p>» Jeder 3. Punkt auf WAH gewährt [BLUE]+1 Rüstung[].<p>» Jeder 2. Punkt auf WAH gewährt +1 Schaden mit [BLUE]Distanzwaffen[].	 » Każdy punkt ŚWI zwiększa o +5% szansę na [BLUE]spostrzeżenie[]<p>» Każde 2 punkty  ŚWI zwiększają o +5% szansę na usłyszenie [BLUE]plotek[]<p>» Dodatkowy [BLUE]+1 punkt pancerza[] za każde [BLUE]3 punkty[] ŚWI.<p>» +1 do obrażeń/ 2 punkty ŚWI [BLUE]bronią dystansową[]. 	» Každý bod AWA poskytuje +5% šanci [BLUE]vnímání[]<p>» Každé 2 body AWA poskytují +5% šanci [BLUE]drbání[]<p>» Bonus [BLUE]+1 Brnění[] za každé [BLUE]3 body[] AWA.<p>» +1 poškození za 2 AWA body se [BLUE]střelnou zbraní[]. 	»AWA'nın her bir noktası, [BLUE] algılamasına% 5 şans verir [] <p> »Her 2 AWA puanı, [BLUE] dedikodularına [% 5] şans veriyor <p> »[BLUE] +1 Zırhın Bonusu [] AWA'daki her [BLUE] 3 puan [].<p> »Menzilli silahlarla 2 AWA puan [BLUE]başına +1 hasar[].	» Ogni punto COS da bonus +5% con [BLUE]Percezione[]<p>» Ogni 2 punti COS da bonus +5% con [BLUE]Gossip[]<p>» Bonus di [BLUE]+1 Armatura[] per ogni [BLUE]3 punti[] COS.<p>» +1 danno per 2 punti COS, con [BLUE]armi a distanza[].	
DESC_PER_STATS	» Each point of PER grants [BLUE]+1 mana/level[] to [BLUE]clerics[].<p>» Each 2 points of PER grant [BLUE]+1 mana/level[] to [BLUE]mages[].<p>» Each point of PER grants +5% chance to [BLUE]gossip[].<p>» Each point of PER grants +2 to resist [BLUE]Spirit[] and +5 to resist [BLUE]Death[].	» Cada punto de CAR, [BLUE]+1 mana/nivel[] a [BLUE]clérigos[].<p>»Cada 2 puntos de CAR, [BLUE]+1 mana/nivel[] a [BLUE]magos[].<p>» Cada punto de CAR, +5% a [BLUE]rumores[].<p>»  Cada punto de CAR, +2 a resistir [BLUE]Espíritu[] y +5 a resistir [BLUE]Muerte[].	» Каждое очко харизмы дает [BLUE]+1 маны/уровень[] [BLUE]клерикам[].<p>» Каждые 2 очка харизмы дают [BLUE]+1 маны/уровень[] [BLUE]магам[].<p>» Каждое очко харизмы дает +5% к шансу [BLUE]уловить слух[].<p>» Каждое очко харизмы дает +2 к [BLUE]Стойкости[] и +5 к сопротивлению [BLUE]Тлену[].	» Cada ponto de CAR, [BLUE]+1 mana/nível[] a [BLUE]clérigos[].<p>» Cada 2 pontos de CAR, [BLUE]+1 mana/nível[] a [BLUE]magos[].<p>» Cada ponto de CAR, +5% a [BLUE]rumores[].<p>» Cada ponto de CAR, +2 a resistir [BLUE}Espírito[] e +5 a resistir [BLUE]Morte[].	» Jeder Punkt auf CHA gewährt [BLUE]+1 Mana/Stufe[] für [BLUE]Kleriker[].<p>» Jeder 2. Punkt auf CHA gewährt [BLUE]+1 Mana/Stufe[] für [BLUE]Magier[].<p>» Jeder Punkt auf CHA gewährt +5% Chance [BLUE]Gerüchte[] zu erfahren.<p>» Jeder Punkt auf CHA gewährt +2 Resistenz gegen [BLUE]Geisteskraft[] and +5 Resistenz gegen [BLUE]Tod[].	» Każdy punkt SPO zapewnia [BLUE]+1 do many/poziom[] dla [BLUE]kleryków[].<p>» Każde 2 punkty SPO zapewniają [BLUE]+1 do many/poziom[] dla [BLUE]magów[].<p>» Każdy punkt SPO zwiększa o +5% szansę na usłyszenie [BLUE]plotek[].<p>» Każdy punkt SPO zapewnia +2 do odporności na obrażenia [BLUE]ducha[] i +5 do odporności na obrażenia od [BLUE]śmierci[].	» Každý bod PER poskytuje [BLUE]+1 mana/úroveň[] [BLUE]klerikům[].<p>» Každé 2 body PER poskytují [BLUE]+1 mana/úroveň[] [BLUE]kouzelníkům[].<p>» Každý bod PER poskytuje +5% šance [BLUE]drbání[].<p>» Každý bod PER poskytuje +2 odolnosti [BLUE]Víry[] a +5 odolnosti [BLUE]Smrti[].	»PER'nin her noktası, [BLUE] rahiplere [1] +1 mana / seviye [] verir. [3] Her iki 2 puan PER [blue] +1 mana / level [] 'dan [BLUE] mages'e [ ]. <p> PER'in her bir noktası, [BLUE] dedikodulara []% 5 şans veriyor. <p> PER'in her noktası, [BLUE] Ruhuna [] direnmek için +2, [BLUE] Ölüm[].	» Ogni punto PER da [BLUE]+1 mana / Liv.[] ai [BLUE]Chierici[].<p>» Ogni 2 punti PER danno [BLUE]+1 mana /Liv.[] ai [BLUE]Maghi[].<p>» Ogni punto PER da bonus +5% con [BLUE]Gossip[].<p>» Ogni punto PER da +2 alla resistenza a [BLUE]Spirito[] e +5 resistenza a [BLUE]Morte[].	
DESC_STR_0	As strong as the average kid. You're a kid, right?	Tan fuerte como un niño. Eres un niño, ¿verdad?	Силен как обычный ребенок. Ты же ребенок, верно?	Tão forte quanto uma criança. Você é uma criança, certo?	So stark wie ein Durchschnittskind. Du bist ein Kind, nicht wahr?	Masz siłę przeciętnego dzieciaka. Jesteś dzieckiem, co nie?	Silný jako průměrné ditě. Jsi dítě, že?	Ortalama bir çocuk kadar güçlüdür.Sen bir çocuksun, değil mi?	Forte come un bambino medio. Sei un bambino, vero?	
DESC_STR_1	Bullies will finally pick someone else.	Por fín los matones se meterán con otro.	Наконец-то хулиганы задирают кого-то другого.	Os valentões agora vão perturbar outro.	Schulhofschläger suchen sich endlich jemand anderen.	Osiłki w końcu będą znęcać się nad kimś innym.	Konečně si k šikaně vyberou někoho jiného.	Küfürler nihayet başkasını seçecek.	I bulli finalmente possono prendersela con qualcun altro.	
DESC_STR_2	Your muscles make obvious you're an action person.	Tus músculos dejan claro que eres una persona de acción.	Ваши мускулы намекают на то, что вы человек дела.	Seus músculos mostram que você é uma pessoa de ação.	Deine Muskeln machen deutlich, dass du eine Person der Tat bist.	Twoje mięśnie zdradzają, że lubisz być w ruchu.	Z tvých svalů je zřejmé, že jsi akční člověk.	Kaslarınız bir eylem insanı olduğunuzu açıkça gösteriyor.	I tuoi muscoli dimostrano che sei una persona attiva.	
DESC_STR_3	Could armwrestle with a minotaur. You'd lose, though.	Podrías echar un pulso a un minotauro. Aunque perderías.	Может померяться силой рук с минотавром. Хоть и без шансов на победу.	Poderia fazer queda de braço com um minotauro. Mas perderia.	Du könntest mit einem Minotaurus armdrücken, würdest allerdings verlieren.	Możesz się siłować na rękę z minotaurem. Niestety, przegrasz.	Můžeš si dát soutěž v Páce s minotaurem. Nicméně bys prohrál.	Minotaur ile kol dayayabilir. Yine de kaybedeceksin	Potresti fare braccio di ferro con un minotauro. Perderesti, comunque.	
DESC_STR_4	Could armwrestle with a minotaur, and maybe win.	Podrías echar un pulso a un minotauro, e incluso ganarle.	Может померяться силой рук с минотавром, и,возможно,даже победить.	Poderia fazer queda de braço com um minotauro, e talvez ganhe.	Du könntest mit einem Minotaurus armdrücken, und vielleicht sogar gewinnen.	Możesz się siłować na rękę z minotaurem. Masz szansę wygrać.	Můžeš si dát soutěž v Páce s minotaurem. Možná bys vyhrál.	Minotaur ile dalga geçebilir ve belki de kazanabiliriz.	Potresti fare braccio di ferro con un minotauro, e forse vinceresti.	
DESC_STR_5	Superhuman strength. Hard to find clothes that fit those biceps.	Fuerza sobrehumana. Dificil encontrar ropa en la que entren esos biceps.	Сверхчеловеческая сила. Трудно подобрать одежду на такие бицепсы.	Força sobrehumana. Difícil encontrar uma roupa que caiba nesses bíceps.	Übermenschliche Stärke. Wirklich schwer, passende Klamotten für diesen Bizeps zu finden.	Nadludzka siła. Ciężko znaleźć koszulę, która schowa twój biceps.	Nadčlověčí síla. Těžké sehnat oblečení na tyto bicepsy. İnsanüstü güç.	Bu iki paya uyan giysileri bulmak çok zor. Forza sovrumana. 	È difficile trovare vestiti che si adattino a questi bicipiti.	
DESC_END_0	Definitely, you need some training.	Definitivamente, necesitas entrenarte.	Вы определенно нуждаетесь в тренировках.	Definitivamente você precisa de treinamento.	Du brauchst dringend etwas Training.	Potrzebujesz treningu. I to już.	Určitě potřebuješ trénink.	Kesinlikle, biraz eğitim gerekiyor.	Hai veramente bisogno di allenarti.	
DESC_END_1	You're not entirely out of shape.	No estás completamente fuera de forma.	Вы не совсем в форме.	Não está completamente fora de forma.	Deine Verfassung ist nicht ganz so schlecht.	Coś tam w tobie jeszcze zostało.	 Nejsi úplně z formy. 	Tamamen şekilsiz değilsin.	Non sei completamente fuori forma.	
DESC_END_2	You're able to endure a lot and keep going. 	Eres capaz de aguantar y seguir adelante.	Вы способны многое вынести и двигаться дальше.	É capaz de aguentar e seguir em frente.	Du kannst viel einstecken und hast Durchhaltevermögen.	Jesteś w stanie wiele przejść i wciąż iść dalej.	Jsi schopný vydržet hodně a stále pokračovat.	Çok katlanmak ve devam etmek mümkün.	Sei in grado di sopportare il dolore e di andare avanti.	
DESC_END_3	Your ability to not-die is becoming better and better.	Tu habilidad para no morir está mejorando más y más.	Ваша способность не-умирать все лучше и лучше.	Sua habilidade de não morrer está cada vez melhor.	Deine Fähigkeit, nicht zu sterben, wird besser und besser.	Twoja zdolność do nieumierania poprawia się.	Tvá schopnost nezemřít se stává lepší a lepší.	Ölmeme beceriniz daha iyi ve daha iyi hale geliyor.	La tua capacità di sopravvivere sta diventando sempre migliore.	
DESC_END_4	You could challenge an orc to a drinking contest.	Podrías desafiar a un orco a una competición de beber.	Вы можете принять вызов орка в литрболе.	Poderia desafiar um orc num campeonato de bebida.	Du könntest einen Ork zum Saufwettbewerb herausfordern.	Możesz mierzyć się z orkiem w konkursie picia.	Můžeš závodit s orkem v závodech v chlastání.	Bir ork ile içki yarışmasına meydan okuyabilirsiniz.	Puoi affrontare un orco in una gara di bevute.	
DESC_END_5	You're a complete iron-man, all but unkillable.	Eres un verdadero hombre de hierro, casi inmortal.	Вы истинно железный человек, почти бессмертный.	É um homem de ferro, quase imortal.	Du bist ein kompletter Eisenmann, nur noch nicht unsterblich.	Jesteś niczym iron-man. Z wyjątkiem tego, że możesz umrzeć.	Jsi hotový železný muž, skoro nezničitelný.	Tam bir demir adamısın, ama hepsi öldürebilir değil.	Sei un completo uomo di ferro, tutto sommato.	
DESC_AGI_0	You can walk without tripping. Most of the time.	Puedes caminar sin tropezarte. Casi siempre.	Вы можете ходить не спотыкаясь. Большую часть времени.	Pode caminhar sem tropeçar. Quase sempre.	Du kannst gehen, ohne zu stolpern. Meistens jedenfalls.	Jesteś w stanie chodzić bez przewracania się. Zazwyczaj.	Můžeš jít bez klopýtnutí. Většinu času.	Tuzak olmadan yürüyebilirsin. Çoğu zaman.	Puoi camminare senza sbattere. La maggior parte delle volte.	
DESC_AGI_1	Not too gangly. Sometimes you manage to get away from danger.	No demasiado torpe. A veces consigues esquivar algún peligro.	Не совсем неуклюжий. Иногда вам удается уйти от опасности.	Não tão desajeitado. Às vezes consegue esquivar dos perigos.	Nicht zu schlaksig. Manchmal schaffst du es, dem Ärger davonzukommen.	Jest dobrze. Czasem uda ci się uciec od zagrożenia.	Nejsi přiliš protažený. Občas se dostaneš z nebezpečí.	Çok çeteli değil.Bazen tehlikeden kurtulmayı başarırsın.	Non sei troppo goffo. A volte riesci a evitare pericoli.	
DESC_AGI_2	Well coordinated, you can juggle a bit. Just don't use knives.	Bien coordinado, puedes hacer malabares. Pero mejor no uses cuchillos.	Хорошая координация, вы можете немножко жонглировать. Только не используйте ножи.	Bem coordenado, pode fazer malabarismo. Só não use facas.	Gute Koordinationsfähigkeit. Du kannst ein bisschen Jonglieren, nimm nur keine Messer.	Dobra koordynacja ruchowa, możesz bawić się żonglerką. Byle nie nożami.	Dobře koordinovaný, můžeš trochu žonglovat. Hlavně nepoužívej nože.	İyi koordine, biraz hokkabazlık yapabilirsiniz. Sadece bıçakları kullanmayın.	Ben coordinato, puoi destreggiarti un po. Solamente non coltelli.	
DESC_AGI_3	You can tumble, walk on your hands... Consider a circus career.	Puedes dar volteretas, caminar cabeza abajo... Podrías trabajar en el circo.	Вы можете кувыркаться и ходить на руках... Задумайтесь о карьере в цирке.	Pode dar cambalhotas, caminhar com as mãos... devia ir para um circo.	Du kannst Purzelbäume schlagen, auf deinen Händen gehen... Wie wär's mit einer Zirkuskarriere?	Robisz przewroty, chodzisz na rękach... A może by tak kariera w cyrku?	Můžeš metat kotrmelce, stát na svých rukách... Uvažuj o cirkusové kariéře.	Kayıpsın, yürüyün elinizde ... Bir sirk kariyerini düşünün.	Puoi cadere, camminando sulle tue mani ... Considerato una carriera al circo.	
DESC_AGI_4	You could steal a banana from a monkey.	Puedes robarle un plátano a un mono.	Вы можете украсть банан у обезьяны.	Você poderia roubar uma banana de um macaco.	Du könntest einem Affen eine Banane klauen.	Jesteś w stanie ukraść małpie banana.	Mohl bys ukradnout banán opici.	Bir maymundan bir muz çalıyorsun.	Puoi rubare una banana da una scimmia.	
DESC_AGI_5	It's as if you floated. You don't move the same way as other human beings.	Es como si flotases. No te mueves de la misma forma que otros seres humanos.	Это как при плавании. Вы двигаетесь не так как могут другие люди.	É como se você flutuasse. Você não se move como outros seres humanos.	Es ist, als würdest du schweben. Du bewegst dich nicht wie andere Menschen.	Suniesz w powietrzu. Nikt nie porusza się tak dobrze, jak ty.	Jsi jako z gumy. Nepohybuješ se jako ostatní lidské bytosti.	Sanki yüzen gibi. Diğer insanlarınki gibi hareket etmiyorsun.	È come se fluttuassi. Non ti muovi allo stesso modo degli altri esseri umani.	
DESC_INT_0	Not the brightest torch in the dungeon, are you?	No eres precisamente la antorcha mas brillante de la mazmorra, ¿verdad?	Вы точно не самый яркий факел в подземелье	Não é a tocha mais brilhante da masmorra, não é?	Du bist nicht das hellste Licht im Verlies, nicht wahr?	Mówią, żeś bystry jak woda... no, wiadomo gdzie.	Nejsi nejzářivější světlo v kobce, že?	Zindandaki en parlak meşale değil mi?	Non sei la mente più geniale di un dungeon, vero?	
DESC_INT_1	Your intelligence is average. Sorry, someone had to tell you.	Tu inteligencia es media. Lo siento, alguien tenía que decírtelo.	Вы явно из средних умов. Простите, кто-то должен был это сказать	Sua inteligência é mediana. Desculpa, alguém tinha que te dizer.	Deine Intelligenz ist durchschnittlich. Leider musste dir das jemand sagen.	Nie grzeszysz inteligencją. Wybacz, ktoś musiał ci to powiedzieć.	Tvá inteligence je průměrná. Promiň, někdo ti to už měl říct.	İstihbaratın ortalama.Üzgünüm, biri size söylemek zorundaydı.	La tua intelligenza è media. Scusa, qualcuno doveva dirtelo.	
DESC_INT_2	You are the village genius. Congratulations.	Eres el genio del pueblo. Felicidades.	Вы деревенский гений. Поздравляем.	É o gênio da vila. Parabéns.	Du bist das Dorfgenie. Glückwunsch!	Największe IQ w całej wsi. Gratulacje.	Jsi vesnický genius. Blahopřeji.	Sen, köy dehasısın. Tebrik ederiz.	Sei il genio del villaggio. Congratulazioni.	
DESC_INT_3	You are smart enough to realize you're really not that smart.	Eres lo bastante inteligente para entender que en realidad no eres tan listo.	Вы достаточно умны, чтобы понять, что на самом деле не так уж и умны.	É esperto o bastante para perceber que não é tão esperto.	Du bist klug genug, um zu wissen, dass du nicht der Klügste bist.	Masz na tyle inteligencji, aby wiedzieć że nie masz jej aż tyle.	Jsi dostatečně chytrý, abys zjistil, že nejsi tak chytrý.	Gerçekten o kadar akıllı olmadığını fark edecek kadar akıllısın.	Sei abbastanza intelligente per capire che non sei davvero intelligente.	
DESC_INT_4	Your memory and deductive reasoning often scares people.	Tu memoria y tu capacidad de deducción asusta a la gente.	Ваша память и дедукция часто пугают окружающих.	Sua memória e dedução assustam as pessoas.	Dein Gedächtnis und logisches Denkvermögen macht den Leuten oftmals Angst.	Twoja pamięć oraz umiejętność łączenia faktów przeraża ludzi.	Tvá paměť a deduktivní uvažování často lidi děsí.	Hafızanız ve tümdengelim akıl yürütme insanları sık sık korkutur.	La tua memoria e le deduzioni spesso spaventano le persone.	
DESC_INT_5	You feel lonely in this world. Very lonely.	Te sientes solo en este mundo. Muy solo.	Вы чувствуете себя одиноким в этом мире. Очень одиноким.	Se sente sozinho nesse mundo. Muito sozinho.	Die fühlst dich einsam in dieser Welt. Sehr einsam.	Czujesz się samotnie na tym świecie. Bardzo samotnie.	Cítíš se v tomto světě osamělý. Velmi osamělý.	Bu dünyada yalnız hissediyorsun. Çok yalnız.	Ti senti solo in questo mondo. Veramente solo.	
DESC_AWA_0	What was that? The world is often confusing and fuzzy around you.	¿Qué ha sido eso? El mundo es un lugar confuso y borroso a tu alrededor.	Что это было? Мир такой нечёткий и пугающий.	O que foi isso? O mundo é confuso e estranho ao seu redor.	Was war das? Die Welt ist oftmals verwirrend und verworren um dich herum.	Co to było? Świat jest dla ciebie często dezorientujący i nieostry.	Co to bylo? Svět je okolo tebe často zmatečný a spletitý.	Neydi o? Dünya etrafınızdaki karışıklık ve bulanıklık halindedir.	Che cos 'era questo? Il mondo è spesso confuso e sfocato intorno a te.	
DESC_AWA_1	You learned to keep your eyes and ears open. About time.	Has aprendido a abrir los ojos y escuchar. Ya era hora.	Вы умеете держать глаза и уши открытыми. Ну, иногда.	Você aprendeu a manter seus olhos e ouvidos abertos. Já era tempo.	Du hast gelernt, deine Augen und Ohren offen zu halten. Wurde auch Zeit!	Wreszcie masz oczy i uszy zeroko otwarte.	Naučil jsi se mít oči a uši otevřené. Bylo na čase.	Gözlerinizi ve kulaklarınızı açık tutmayı öğrendiniz. Zaman hakkında.	Finalmente hai imparato a mantenere gli occhi e le orecchie aperti.	
DESC_AWA_2	Sharp eyes and ears... You notice most of what happens around.	Ojos y oidos agudos... Te enteras de la mayoría de lo que ocurre alrededor.	Ушки на макушке и глаза на затылке... Ничего от вас не спрячешь.	Olhos e ouvidos afiados... você percebe quase tudo o que acontece.	Scharfe Augen und Ohren... Du bemerkst fast alles, was um dich herum geschieht.	Ostr wzrok i słuch. Zauważasz większość rzeczy dookoła ciebie.	Ostrý zrak a sluch... Zjistiš většinu toho co se kolem tebe děje.	Keskin gözler ve kulaklar ...Çevrenizde neler olduğunun farkına varırsınız.	Occhi acuti e orecchie fini....Noti la maggior parte di ciò che accade intorno.	
